population_year,population_15_24,source_entity,dissemination,source_url,source_last_updated
2016,1101839,INE,PORDATA,https://www.pordata.pt/en/portugal/resident+population+of+working+age+total+and+by+age+group-3245,2026-06-22
2017,1095605,INE,PORDATA,https://www.pordata.pt/en/portugal/resident+population+of+working+age+total+and+by+age+group-3245,2026-06-22
2018,1091846,INE,PORDATA,https://www.pordata.pt/en/portugal/resident+population+of+working+age+total+and+by+age+group-3245,2026-06-22
2019,1090568,INE,PORDATA,https://www.pordata.pt/en/portugal/resident+population+of+working+age+total+and+by+age+group-3245,2026-06-22
2020,1091205,INE,PORDATA,https://www.pordata.pt/en/portugal/resident+population+of+working+age+total+and+by+age+group-3245,2026-06-22
2021,1102644,INE,PORDATA,https://www.pordata.pt/en/portugal/resident+population+of+working+age+total+and+by+age+group-3245,2026-06-22
2022,1137135,INE,PORDATA,https://www.pordata.pt/en/portugal/resident+population+of+working+age+total+and+by+age+group-3245,2026-06-22
2023,1175671,INE,PORDATA,https://www.pordata.pt/en/portugal/resident+population+of+working+age+total+and+by+age+group-3245,2026-06-22
2024,1192483,INE,PORDATA,https://www.pordata.pt/en/portugal/resident+population+of+working+age+total+and+by+age+group-3245,2026-06-22
2025,1185234,INE,PORDATA,https://www.pordata.pt/en/portugal/resident+population+of+working+age+total+and+by+age+group-3245,2026-06-22
