population_year,population_age_18,source_entity,dissemination,indicator,geography_code,sex_code,age_code,source_url,source_last_updated
2016,110479,INE,INE JSON API,0001223,PT,T,224,https://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0001223&lingua=PT,2026-06-22
2017,113896,INE,INE JSON API,0001223,PT,T,224,https://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0001223&lingua=PT,2026-06-22
2018,116594,INE,INE JSON API,0001223,PT,T,224,https://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0001223&lingua=PT,2026-06-22
2019,107431,INE,INE JSON API,0001223,PT,T,224,https://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0001223&lingua=PT,2026-06-22
2020,108063,INE,INE JSON API,0001223,PT,T,224,https://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0001223&lingua=PT,2026-06-22
2021,107266,INE,INE JSON API,0001223,PT,T,224,https://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0001223&lingua=PT,2026-06-22
2022,109328,INE,INE JSON API,0001223,PT,T,224,https://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0001223&lingua=PT,2026-06-22
2023,112046,INE,INE JSON API,0001223,PT,T,224,https://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0001223&lingua=PT,2026-06-22
2024,111286,INE,INE JSON API,0001223,PT,T,224,https://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0001223&lingua=PT,2026-06-22
2025,110376,INE,INE JSON API,0001223,PT,T,224,https://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0001223&lingua=PT,2026-06-22
