source_document_year,source_url,source_pages,source_section,source_type,provider_bytes_bundled,year,programme_code,programme_name,degree,institution_code,institution_name,vacancies,applicants,first_choice_applicants,placements,first_choice_placements,last_placed_general_contingent_grade,mean_application_grade_placed,mean_entrance_exam_grade_placed,mean_secondary_grade_placed
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C26,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9081,Economia,Licenciatura,0170,Universidade dos Açores - Faculdade de Economia e Gestão,20,32,0,1,0,,106.4,96.0,112.0
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C26,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9081,Economia,Licenciatura,0204,Universidade do Algarve - Faculdade de Economia,30,83,9,17,9,112.3,135.8,124.1,142.0
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C26,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9081,Economia,Licenciatura,0300,Universidade de Aveiro,48,369,37,48,12,156.0,160.3,148.1,168.4
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C26,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9081,Economia,Licenciatura,0400,Universidade da Beira Interior,45,146,11,45,10,126.5,137.4,120.1,146.7
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C26,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9081,Economia,Licenciatura,0503,Universidade de Coimbra - Faculdade de Economia,154,656,98,154,58,139.5,150.0,140.0,160.0
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C26,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9081,Economia,Licenciatura,0604,Universidade de Évora - Escola de Ciências Sociais,40,119,15,33,15,111.5,125.8,110.9,133.8
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C26,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9081,Economia,Licenciatura,0904,Universidade Nova de Lisboa - Faculdade de Economia,195,915,258,195,120,163.5,172.3,169.7,174.9
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C26,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9081,Economia,Licenciatura,1000,Universidade do Minho,83,595,93,85,27,161.4,166.6,156.5,173.3
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C26,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9081,Economia,Licenciatura,1104,Universidade do Porto - Faculdade de Economia,208,894,318,208,143,168.3,176.2,171.2,181.2
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C26,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9081,Economia,Licenciatura,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,40,148,8,40,7,139.9,148.9,131.6,158.1
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C26,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9081,Economia,Licenciatura,1308,Universidade da Madeira - Faculdade de Ciências Sociais,40,27,5,10,5,119.8,117.9,102.7,130.3
