source_document_year,source_url,source_pages,source_section,source_type,provider_bytes_bundled,year,programme_code,programme_name,degree,institution_code,institution_name,vacancies,applicants,first_choice_applicants,placements,first_choice_placements,last_placed_general_contingent_grade,mean_application_grade_placed,mean_entrance_exam_grade_placed,mean_secondary_grade_placed
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C43-C44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9119,Engenharia Informática,Licenciatura,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,70,149,51,64,51,109.5,130.4,118.4,136.9
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C43-C44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9119,Engenharia Informática,Licenciatura,0300,Universidade de Aveiro,54,593,114,54,40,158.0,168.3,167.2,169.3
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C43-C44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9119,Engenharia Informática,Licenciatura,0400,Universidade da Beira Interior,65,308,37,65,34,121.8,135.9,119.3,144.7
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C43-C44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9119,Engenharia Informática,Licenciatura,0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,130,641,159,130,94,142.5,155.0,150.9,159.1
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C43-C44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9119,Engenharia Informática,Licenciatura,0602,Universidade de Évora - Escola de Ciências e Tecnologia,45,220,32,45,27,122.8,133.1,117.3,141.6
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C43-C44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9119,Engenharia Informática,Licenciatura,1203,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,105,366,62,105,39,121.1,135.6,115.2,146.6
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C43-C44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9119,Engenharia Informática,Licenciatura,1307,Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia,75,94,66,70,66,100.0,130.0,115.9,141.5
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C43-C44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9119,Engenharia Informática,Licenciatura,1503,Universidade de Lisboa - Faculdade de Ciências,105,716,75,105,35,144.0,152.9,150.7,155.2
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C43-C44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9119,Engenharia Informática,Licenciatura,3023,Instituto Politécnico de Beja - Escola Superior de Tecnologia e de Gestão,55,58,9,11,9,112.9,138.1,132.0,141.3
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C43-C44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9119,Engenharia Informática,Licenciatura,3043,Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança,75,128,12,28,12,108.0,123.5,107.0,132.4
