source_document_year,source_url,source_pages,source_section,source_type,provider_bytes_bundled,year,programme_code,programme_name,degree,institution_code,institution_name,vacancies,applicants,first_choice_applicants,placements,first_choice_placements,last_placed_general_contingent_grade,mean_application_grade_placed,mean_entrance_exam_grade_placed,mean_secondary_grade_placed
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,0170,Universidade dos Açores - Faculdade de Economia e Gestão,50,88,48,50,46,110.3,135.0,125.5,140.1
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,0300,Universidade de Aveiro,40,449,76,40,20,159.2,164.5,156.9,169.5
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,0400,Universidade da Beira Interior,60,382,63,60,27,143.9,151.3,146.8,153.8
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,0503,Universidade de Coimbra - Faculdade de Economia,89,750,144,89,43,154.0,161.7,156.7,166.6
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,0604,Universidade de Évora - Escola de Ciências Sociais,65,304,69,65,40,128.7,144.3,136.7,148.3
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,0904,Universidade Nova de Lisboa - Faculdade de Economia,195,988,418,195,178,169.0,176.7,177.1,176.3
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,1000,Universidade do Minho,73,758,190,73,34,165.4,171.2,162.7,176.9
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,1104,Universidade do Porto - Faculdade de Economia,115,954,386,115,102,175.0,180.5,178.5,182.5
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,54,372,119,54,32,150.9,160.0,154.7,162.8
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,1308,Universidade da Madeira - Faculdade de Ciências Sociais,55,137,86,55,51,132.3,150.4,143.9,155.7
