source_document_year,source_url,source_pages,source_section,source_type,provider_bytes_bundled,year,programme_code,programme_name,degree,institution_code,institution_name,vacancies,applicants,first_choice_applicants,placements,first_choice_placements,last_placed_general_contingent_grade,mean_application_grade_placed,mean_entrance_exam_grade_placed,mean_secondary_grade_placed
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,0170,Universidade dos Açores - Faculdade de Economia e Gestão,50,114,61,50,41,133.2,146.5,144.3,147.6
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,0300,Universidade de Aveiro,42,613,93,42,16,171.8,176.2,177.1,175.5
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,0400,Universidade da Beira Interior,70,469,93,73,43,152.0,160.5,164.2,158.5
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,0503,Universidade de Coimbra - Faculdade de Economia,94,1002,190,94,51,169.0,175.6,182.6,168.6
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,0604,Universidade de Évora - Escola de Ciências Sociais,69,432,98,69,40,146.4,154.2,151.6,155.5
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,0904,Universidade Nova de Lisboa - Faculdade de Economia,275,1512,721,289,264,182.0,186.3,192.7,179.8
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,1000,Universidade do Minho,93,855,154,94,50,176.4,179.2,180.9,178.1
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,1104,Universidade do Porto - Faculdade de Economia,191,1406,595,199,171,185.0,187.5,191.0,184.1
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,68,490,117,68,26,157.8,166.5,164.8,167.3
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,1308,Universidade da Madeira - Faculdade de Ciências Sociais,67,199,112,68,62,143.9,159.5,156.1,162.2
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,1517,Universidade de Lisboa - Instituto Superior de Economia e Gestão,173,1894,300,176,50,167.5,171.0,177.3,164.6
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,3043,Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança,97,297,41,98,31,125.4,133.8,126.7,137.6
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C58-C59,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9147,Gestão,Licenciatura,3054,Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova,45,135,8,32,8,104.8,128.1,124.0,130.3
