source_document_year,source_url,source_pages,source_section,source_type,provider_bytes_bundled,year,programme_code,programme_name,degree,institution_code,institution_name,vacancies,applicants,first_choice_applicants,placements,first_choice_placements,last_placed_general_contingent_grade,mean_application_grade_placed,mean_entrance_exam_grade_placed,mean_secondary_grade_placed
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9219,Psicologia,Licenciatura,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,35,153,58,35,28,126.5,138.4,130.4,142.7
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9219,Psicologia,Licenciatura,0201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,65,449,101,68,34,137.9,145.9,143.2,147.3
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9219,Psicologia,Licenciatura,0300,Universidade de Aveiro,33,236,53,33,21,137.0,145.3,135.9,154.7
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9219,Psicologia,Licenciatura,0400,Universidade da Beira Interior,50,409,68,51,12,142.0,146.6,135.1,152.7
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9219,Psicologia,Licenciatura,0604,Universidade de Évora - Escola de Ciências Sociais,52,460,81,52,23,141.7,147.0,140.5,150.5
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9219,Psicologia,Licenciatura,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,60,446,92,60,21,144.9,151.6,144.1,155.6
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9219,Psicologia,Licenciatura,1306,Universidade da Madeira - Faculdade de Artes e Humanidades,30,75,38,31,31,132.1,143.0,136.9,148.0
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9219,Psicologia,Licenciatura,6800,ISCTE - Instituto Universitário de Lisboa,65,890,247,67,49,155.0,158.3,160.8,155.7
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,35,194,70,36,26,128.3,139.5,132.9,143.1
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,0201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,65,480,101,65,24,139.7,145.9,143.2,147.2
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,0300,Universidade de Aveiro,33,292,42,33,11,142.5,148.2,139.5,156.9
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,0400,Universidade da Beira Interior,50,464,81,50,15,146.4,149.1,144.1,151.8
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,0604,Universidade de Évora - Escola de Ciências Sociais,52,541,100,53,18,145.8,151.2,149.0,152.3
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,65,528,89,65,19,149.3,154.7,152.2,156.0
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,1306,Universidade da Madeira - Faculdade de Artes e Humanidades,30,87,40,30,26,139.9,148.7,144.1,152.4
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C74,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,6800,ISCTE - Instituto Universitário de Lisboa,65,1075,334,65,46,160.0,160.0,162.1,157.9
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,35,194,70,36,26,128.3,139.5,132.9,143.1
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,0201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,65,480,101,65,24,139.7,145.9,143.2,147.2
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,0300,Universidade de Aveiro,33,292,42,33,11,142.5,148.2,139.5,156.9
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,0400,Universidade da Beira Interior,50,464,81,50,15,146.4,149.1,144.1,151.8
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,0604,Universidade de Évora - Escola de Ciências Sociais,52,541,100,53,18,145.8,151.2,149.0,152.3
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,65,528,89,65,19,149.3,154.7,152.2,156.0
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,1306,Universidade da Madeira - Faculdade de Artes e Humanidades,30,87,40,30,26,139.9,148.7,144.1,152.4
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9219,Psicologia,Licenciatura,6800,ISCTE - Instituto Universitário de Lisboa,65,1075,334,65,46,160.0,160.0,162.1,157.9
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9219,Psicologia,Licenciatura,0150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,40,231,63,40,24,137.9,145.3,141.1,147.5
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9219,Psicologia,Licenciatura,0201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,65,684,160,66,37,150.6,158.2,160.9,156.6
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9219,Psicologia,Licenciatura,0300,Universidade de Aveiro,34,410,58,34,13,158.0,163.1,168.3,157.9
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9219,Psicologia,Licenciatura,0400,Universidade da Beira Interior,50,573,74,54,15,153.2,158.7,156.2,159.9
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9219,Psicologia,Licenciatura,0604,Universidade de Évora - Escola de Ciências Sociais,52,563,110,53,19,153.7,156.2,161.7,153.2
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9219,Psicologia,Licenciatura,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,73,621,104,75,11,153.9,158.1,156.1,159.1
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9219,Psicologia,Licenciatura,1306,Universidade da Madeira - Faculdade de Artes e Humanidades,35,145,67,36,27,147.8,156.8,159.9,154.3
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C76,9219 Psicologia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9219,Psicologia,Licenciatura,6800,ISCTE - Instituto Universitário de Lisboa,72,1434,460,77,48,168.5,169.8,174.5,165.1
