source_document_year,source_url,source_pages,source_section,source_type,provider_bytes_bundled,year,programme_code,programme_name,degree,institution_code,institution_name,vacancies,applicants,first_choice_applicants,placements,first_choice_placements,last_placed_general_contingent_grade,mean_application_grade_placed,mean_entrance_exam_grade_placed,mean_secondary_grade_placed
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C31-C32,9500 Enfermagem [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9500,Enfermagem,Licenciatura,1320,Universidade da Madeira - Escola Superior de Saúde,28,165,132,28,27,152.0,160.6,159.9,161.3
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C31-C32,9500 Enfermagem [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9500,Enfermagem,Licenciatura,3013,Universidade de Aveiro - Escola Superior de Saúde de Aveiro,91,1300,139,92,28,157.0,158.9,157.6,159.7
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C31-C32,9500 Enfermagem [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9500,Enfermagem,Licenciatura,3155,Instituto Politécnico de Setúbal - Escola Superior de Saúde,44,659,142,47,29,155.6,161.3,163.6,159.7
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C31-C32,9500 Enfermagem [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9500,Enfermagem,Licenciatura,7001,Escola Superior de Enfermagem de Coimbra,320,1993,383,329,188,154.0,151.6,151.6,151.5
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C31-C32,9500 Enfermagem [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9500,Enfermagem,Licenciatura,7002,Escola Superior de Enfermagem de Lisboa,288,1937,712,293,199,156.0,162.9,166.1,160.8
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C31-C32,9500 Enfermagem [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9500,Enfermagem,Licenciatura,7003,Escola Superior de Enfermagem do Porto,257,1940,776,258,176,164.0,169.8,170.3,169.3
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C31-C32,9500 Enfermagem [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9500,Enfermagem,Licenciatura,7005,Instituto Politécnico de Beja - Escola Superior de Saúde,37,299,48,39,18,142.0,150.4,147.1,152.2
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C31-C32,9500 Enfermagem [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9500,Enfermagem,Licenciatura,7010,Universidade do Minho - Escola Superior de Enfermagem,82,989,259,82,52,162.8,170.3,171.4,169.2
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C31-C32,9500 Enfermagem [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9500,Enfermagem,Licenciatura,7015,Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança,60,406,53,70,35,145.6,143.2,137.0,146.5
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,C31-C32,9500 Enfermagem [Licenciatura],DGES StatsCurso comparative first-phase table,False,2020,9500,Enfermagem,Licenciatura,7020,Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias,58,446,73,62,33,140.2,147.2,144.0,148.9
