year,area,vacancies,first_choice_applicants,placements,remaining_vacancies,source_document,source_table
2017,"Agricultura, Silvicultura e Pescas",814,213,279,535,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Arquitectura e Construção,1935,878,1309,635,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Artes,3490,3691,3075,455,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Ciências Empresariais,7598,8846,6901,758,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Ciências Físicas,1260,963,1185,83,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Ciências Sociais e do Comportamento,3885,5099,3836,83,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Ciências Veterinárias,524,660,423,102,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Ciências da Vida,2248,2185,2107,145,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Desconhecido ou não especificado,60,85,62,0,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Direito,1855,3059,1831,34,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Engenharia e Técnicas Afins,9063,9048,7664,1412,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Formação de Professores/Formadores e Ciências da Educação,1213,853,1043,177,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Humanidades,2487,2335,2404,115,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Indústrias Transformadoras,584,218,317,267,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Informação e Jornalismo,875,1481,884,2,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Informática,1028,807,820,210,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Matemática e Estatística,537,601,524,13,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Protecção do Ambiente,617,183,380,237,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Saúde,6737,7262,6251,508,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Serviços Pessoais,2808,3070,2638,202,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Serviços Sociais,1063,763,852,223,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Serviços de Segurança,70,20,41,29,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2017,Serviços de Transporte,87,114,88,0,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII
2018,"Agricultura, Silvicultura e Pescas",826,177,243,583,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V
2018,Arquitectura e Construção,1796,901,1204,596,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V
2018,Artes,3483,3609,3094,435,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V
2018,Ciências Empresariais,7607,8260,6914,807,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V
