year,area,vacancies,first_choice_applicants,placements,remaining_vacancies,source_document,source_table
2023,"Agricultura, Silvicultura e Pescas",723,201,291,432,nota_cna23_1f_1.pdf,Quadro V
2023,"Arquitetura e Construção",1696,1413,1299,400,nota_cna23_1f_1.pdf,Quadro V
2023,"Artes",3740,4262,3573,209,nota_cna23_1f_1.pdf,Quadro V
2023,"Ciências da Vida",2248,2098,2119,140,nota_cna23_1f_1.pdf,Quadro V
2023,"Ciências Empresariais",7649,9175,7344,363,nota_cna23_1f_1.pdf,Quadro V
2023,"Ciências Físicas",1076,754,882,196,nota_cna23_1f_1.pdf,Quadro V
2023,"Ciências Sociais e do Comportamento",4180,6419,4178,42,nota_cna23_1f_1.pdf,Quadro V
2023,"Ciências Veterinárias",587,828,588,0,nota_cna23_1f_1.pdf,Quadro V
2023,"Desconhecido ou não especificado",61,78,61,0,nota_cna23_1f_1.pdf,Quadro V
2023,"Direito",1840,3458,1854,0,nota_cna23_1f_1.pdf,Quadro V
2023,"Engenharia e Técnicas Afins",10242,8635,8233,2018,nota_cna23_1f_1.pdf,Quadro V
2023,"Formação de Professores/Formadores e Ciências da Educação",1437,1657,1356,91,nota_cna23_1f_1.pdf,Quadro V
2023,"Humanidades",2887,3262,2897,27,nota_cna23_1f_1.pdf,Quadro V
2023,"Indústrias Transformadoras",554,142,284,270,nota_cna23_1f_1.pdf,Quadro V
2023,"Informação e Jornalismo",949,1636,958,0,nota_cna23_1f_1.pdf,Quadro V
2023,"Informática",1786,1335,1447,344,nota_cna23_1f_1.pdf,Quadro V
2023,"Matemática e Estatística",753,705,720,34,nota_cna23_1f_1.pdf,Quadro V
2023,"Proteção do Ambiente",494,177,334,161,nota_cna23_1f_1.pdf,Quadro V
2023,"Saúde",7098,8692,7021,91,nota_cna23_1f_1.pdf,Quadro V
2023,"Serviços de Segurança",40,8,21,19,nota_cna23_1f_1.pdf,Quadro V
2023,"Serviços de Transporte",92,140,93,0,nota_cna23_1f_1.pdf,Quadro V
2023,"Serviços Pessoais",3076,3010,2810,289,nota_cna23_1f_1.pdf,Quadro V
2023,"Serviços Sociais",1155,988,1075,86,nota_cna23_1f_1.pdf,Quadro V
2024,"Formação de Professores/Formadores e Ciências da Educação",1487,1694,1442,54,nota_cna24_1f_1.pdf,Quadro V
