source_document_year,source_url,source_pages,source_section,source_type,provider_bytes_bundled,year,programme_code,programme_name,degree,institution_code,institution_name,vacancies,applicants,first_choice_applicants,placements,first_choice_placements,last_placed_general_contingent_grade,mean_application_grade_placed,mean_entrance_exam_grade_placed,mean_secondary_grade_placed
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,0170,Universidade dos Açores - Faculdade de Economia e Gestão,20,33,4,8,4,119.3,132.6,113.1,143.0
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,0204,Universidade do Algarve - Faculdade de Economia,48,70,9,26,9,105.8,136.4,120.6,144.9
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,0300,Universidade de Aveiro,51,468,35,51,12,162.0,166.7,154.5,174.8
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,0400,Universidade da Beira Interior,45,136,8,45,8,117.8,141.4,123.9,150.7
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,0503,Universidade de Coimbra - Faculdade de Economia,160,654,96,162,50,142.5,151.1,141.9,160.3
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,0604,Universidade de Évora - Escola de Ciências Sociais,44,98,5,31,5,121.9,139.3,122.6,148.3
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,0904,Universidade Nova de Lisboa - Faculdade de Economia,225,1210,309,227,159,168.5,176.8,174.7,178.9
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,1000,Universidade do Minho,91,597,71,91,30,165.6,170.5,159.3,178.0
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,1104,Universidade do Porto - Faculdade de Economia,225,1021,302,227,147,169.5,177.8,173.0,182.6
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,55,167,12,55,11,130.4,147.2,129.0,157.0
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,1308,Universidade da Madeira - Faculdade de Ciências Sociais,40,33,6,9,6,123.6,130.7,119.1,140.1
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,1517,Universidade de Lisboa - Instituto Superior de Economia e Gestão,145,1196,128,146,33,157.0,163.0,158.2,167.7
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P24,9081 Economia [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9081,Economia,Licenciatura,6800,ISCTE - Instituto Universitário de Lisboa,72,1030,107,72,17,166.3,170.3,167.9,172.6
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P43-P44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9119,Engenharia Informática,Licenciatura,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,102,155,38,54,38,110.7,136.0,116.0,146.7
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,P43-P44,9119 Engenharia Informática [Licenciatura],DGES StatsCurso comparative first-phase table,False,2021,9119,Engenharia Informática,Licenciatura,0300,Universidade de Aveiro,69,631,152,69,54,167.8,174.6,175.4,173.7
