year,annual_index_url,pair_index_url,acquisition_mode,status,note
1997,https://www.dges.gov.pt/guias/pdfs/statcol/1997/,,annual_archive_discovery,official_archive_registered,Official annual statistics exist; detailed statce URL is not pre-assumed.
1998,https://www.dges.gov.pt/guias/pdfs/statcol/1998/,,annual_archive_discovery,official_archive_registered,Official annual statistics exist; detailed statce URL is not pre-assumed.
1999,https://www.dges.gov.pt/guias/pdfs/statcol/1999/,,annual_archive_discovery,official_archive_registered,Official annual statistics exist; detailed statce URL is not pre-assumed.
2000,https://www.dges.gov.pt/guias/pdfs/statcol/2000/,,annual_archive_discovery,official_archive_registered,Official annual statistics exist; detailed statce URL is not pre-assumed.
2001,https://www.dges.gov.pt/guias/pdfs/statcol/2001/,,annual_archive_discovery,official_archive_registered,Official annual statistics exist; detailed statce URL is not pre-assumed.
2002,https://www.dges.gov.pt/guias/pdfs/statcol/2002/,,annual_archive_discovery,official_archive_registered,Official annual statistics exist; detailed statce URL is not pre-assumed.
2003,https://www.dges.gov.pt/guias/pdfs/statcol/2003/,,annual_archive_discovery,official_archive_registered,Official annual statistics exist; detailed statce URL is not pre-assumed.
2004,https://www.dges.gov.pt/guias/pdfs/statcol/2004/,https://www.dges.gov.pt/guias/pdfs/statce/col04f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2005,https://www.dges.gov.pt/guias/pdfs/statcol/2005/,https://www.dges.gov.pt/guias/pdfs/statce/col05f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2006,https://www.dges.gov.pt/guias/pdfs/statcol/2006/,https://www.dges.gov.pt/guias/pdfs/statce/col06f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2007,https://www.dges.gov.pt/guias/pdfs/statcol/2007/,https://www.dges.gov.pt/guias/pdfs/statce/col07f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2008,https://www.dges.gov.pt/guias/pdfs/statcol/2008/,https://www.dges.gov.pt/guias/pdfs/statce/col08f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2009,https://www.dges.gov.pt/guias/pdfs/statcol/2009/,https://www.dges.gov.pt/guias/pdfs/statce/col09f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2010,https://www.dges.gov.pt/guias/pdfs/statcol/2010/,https://www.dges.gov.pt/guias/pdfs/statce/col10f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2011,https://www.dges.gov.pt/guias/pdfs/statcol/2011/,https://www.dges.gov.pt/guias/pdfs/statce/col11f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2012,https://www.dges.gov.pt/guias/pdfs/statcol/2012/,https://www.dges.gov.pt/guias/pdfs/statce/col12f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2013,https://www.dges.gov.pt/guias/pdfs/statcol/2013/,https://www.dges.gov.pt/guias/pdfs/statce/col13f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2014,https://www.dges.gov.pt/guias/pdfs/statcol/2014/,https://www.dges.gov.pt/guias/pdfs/statce/col14f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2015,https://www.dges.gov.pt/guias/pdfs/statcol/2015/,https://www.dges.gov.pt/guias/pdfs/statce/col15f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2016,https://www.dges.gov.pt/guias/pdfs/statcol/2016/,https://www.dges.gov.pt/guias/pdfs/statce/col16f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2017,https://www.dges.gov.pt/guias/pdfs/statcol/2017/,https://www.dges.gov.pt/guias/pdfs/statce/col17f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2018,https://www.dges.gov.pt/guias/pdfs/statcol/2018/,https://www.dges.gov.pt/guias/pdfs/statce/col18f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/,https://www.dges.gov.pt/guias/pdfs/statce/col19f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/,https://www.dges.gov.pt/guias/pdfs/statce/col20f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/,https://www.dges.gov.pt/guias/pdfs/statce/col21f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2022,https://www.dges.gov.pt/guias/pdfs/statcol/2022/,https://www.dges.gov.pt/guias/pdfs/statce/col22f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2023,https://www.dges.gov.pt/guias/pdfs/statcol/2023/,https://www.dges.gov.pt/guias/pdfs/statce/col23f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2024,https://www.dges.gov.pt/guias/pdfs/statcol/2024/,https://www.dges.gov.pt/guias/pdfs/statce/col24f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2025,https://www.dges.gov.pt/guias/pdfs/statcol/2025/,https://www.dges.gov.pt/guias/pdfs/statce/col25f1/index.htm,standard_statcol_statce,verified_url_family,Use annual index discovery and first-phase pair-statistics index.
2026,https://www.dges.gov.pt/coloc/2026/index.asp,,current_results_adapter,partial_current_vintage,First-phase result files are published via the 2026 placements page; do not infer the standard annual-statistics structure until it appears.
