provider,comparison,outcome,include_demand,baseline_rmse,ranking_rmse,baseline_mae,ranking_mae,eligible_rows,eligible_parents,supported_rows,unsupported_rows,supported_parents,unsupported_ranking_rows,unsupported_structural_rows,delta_rmse,delta_mae
ARWU,M0_vs_MR,last_placed_general_contingent_grade,False,8.646509485179696,9.577168901325026,6.856172526964582,8.092530024328262,47,6,27,20,3,17,3,0.9306594161453301,1.23635749736368
ARWU,M0_vs_MR,mean_application_grade_placed,False,8.977901927062915,9.144813119597034,7.646347088622479,7.933080160236705,47,6,27,20,3,17,3,0.16691119253411912,0.28673307161422645
ARWU,M0_vs_MR_demand,applicants_per_vacancy,False,3.1606919290207154,3.687368511344064,2.554967682692982,3.130650231622392,47,6,27,20,3,17,3,0.5266765823233488,0.57568254892941
ARWU,MD_vs_MDR,last_placed_general_contingent_grade,True,9.547845397094505,8.823811808892323,7.230763261361709,7.974904976257669,47,6,27,20,3,17,3,-0.7240335882021824,0.7441417148959601
ARWU,MD_vs_MDR,mean_application_grade_placed,True,9.883228571460352,10.346868210284764,7.639538383867269,8.947512068330681,47,6,27,20,3,17,3,0.4636396388244126,1.3079736844634127
QS,M0_vs_MR,last_placed_general_contingent_grade,False,10.872511869473877,17.507954226779276,10.220666666666595,17.17013127810775,54,6,30,24,4,24,0,6.635442357305399,6.9494646114411545
QS,M0_vs_MR,mean_application_grade_placed,False,10.5530918027477,17.62940885502655,9.9496666666666,17.256616940772368,54,6,30,24,4,24,0,7.076317052278851,7.306950274105768
QS,M0_vs_MR_demand,applicants_per_vacancy,False,2.545238495942203,2.406701918148947,1.9595861069916316,2.0142348387778415,54,6,30,24,4,24,0,-0.13853657779325612,0.05464873178620988
QS,MD_vs_MDR,last_placed_general_contingent_grade,True,12.038495505561334,17.98820695297417,11.382829412078914,17.510982778593316,54,6,30,24,4,24,0,5.949711447412836,6.128153366514402
QS,MD_vs_MDR,mean_application_grade_placed,True,11.1265422356383,17.381040605963797,10.456565813986291,16.679853489519612,54,6,30,24,4,24,0,6.254498370325496,6.223287675533321
Times Higher Education,M0_vs_MR,last_placed_general_contingent_grade,False,19.913553414618413,18.240284059943065,15.739557330637167,14.506711918887616,116,11,112,4,11,4,0,-1.673269354675348,-1.232845411749551
Times Higher Education,M0_vs_MR,mean_application_grade_placed,False,15.434829310503398,14.051343108067313,12.323836109200784,11.749238833796696,116,11,112,4,11,4,0,-1.3834862024360852,-0.5745972754040878
Times Higher Education,M0_vs_MR_demand,applicants_per_vacancy,False,3.503256948360848,3.368507009818396,2.875559480064925,2.689068708265952,116,11,112,4,11,4,0,-0.13474993854245199,-0.18649077179897322
Times Higher Education,MD_vs_MDR,last_placed_general_contingent_grade,True,13.079774285289687,13.090252349501565,9.82202369045954,10.320745241028295,116,11,112,4,11,4,0,0.01047806421187758,0.4987215505687548
Times Higher Education,MD_vs_MDR,mean_application_grade_placed,True,11.086652655407027,11.114425520820076,8.319446269633719,8.8113603420658,116,11,112,4,11,4,0,0.027772865413048464,0.4919140724320812
